DAY,LAW_CODE_NUMERIC,DF_LCC,DF_AB
17,1657200,3,3
10,1200001,2,2
10,2650101,2,2
30,265031,3,1
14,1601503,3,4
14,1200512,3,4
17,2650201,3,4
14,2650102,2,3
17,265031,3,2
18,1200001,2,2
5,1651503,2,2
9,1200502,3,5
15,2601001,2,1
26,160102,3,1
13,1450001,2,5
25,160102,3,3
25,1402000,3,4
12,215510,3,1
24,1201401,2,3
11,1552500,2,4
12,1654000,2,3
10,1200501,3,1
10,1200503,3,3
10,2403001,2,4
8,1450502,3,3
29,1200001,2,3
3,215510,3,4
30,1552500,2,3
2,511001,2,2
20,1706501,3,4
26,1553008,3,2
16,1552500,2,4
14,1200001,2,5
23,5700600,4,4
3,2403001,2,3
17,1552500,2,3
8,2155003,2,4
4,1553001,3,3
21,1553008,3,2
5,51101,2,4
13,1651503,2,3
3,1553001,3,2
2,1200502,3,4
1,1211100,2,4
30,2200300,2,4
10,1651503,2,1
20,2200300,2,2
22,2200903,3,2
5,1403500,2,2
12,2201601,3,3
6,160102,3,1
12,1553501,3,1
25,1552500,2,4
4,1600500,3,2
9,215510,3,4
9,1600500,3,1
18,511001,2,1
28,1211200,3,2
8,1200001,2,4
5,2200300,2,4
29,1552500,2,3
26,1201401,2,1
16,1950500,2,4
15,1552500,2,1
6,1200501,3,3
22,1200502,3,2
9,215510,3,2
19,1200001,2,2
8,2200601,3,1
30,2200300,2,2
12,1302503,3,4
18,511001,2,1
19,1654000,2,2
26,511001,2,3
19,215510,3,4
16,1450502,3,1
5,1651503,2,1
10,215510,3,4
27,1651503,2,1
16,1402000,3,2
23,1200001,2,3
10,1552500,2,2
20,0,1,1
2,1552500,2,2
20,1552500,2,1
28,0,1,1
15,511001,2,3
5,2201601,3,1
4,2200300,2,3
20,1200001,2,2
26,1552500,2,3
12,1950501,2,1
1,1211100,2,4
14,1553502,3,3
28,1200501,3,4
30,1200001,2,2
20,1200001,2,1
17,1552500,2,1
10,1553001,3,2
23,1450001,2,3
1,2053000,2,2
25,1651503,2,3
14,1201401,2,2
29,2200910,3,1
25,1200001,2,3
18,2403002,2,2
21,1211200,3,3
5,1600500,3,1
26,1753501,3,1
24,1450502,3,2
27,1200001,2,4
25,1200001,2,1
11,2155003,2,3
19,2200300,2,1
16,1552500,2,3
5,1600500,3,2
26,1600500,3,1
18,1552500,2,3
5,1201500,2,4
4,1554002,3,2
24,5700600,4,3
6,511001,2,2
6,1601504,3,2
13,1702000,2,4
18,1200501,3,3
26,1651503,2,1
4,215510,3,1
7,2155003,2,2
26,1702500,3,1
3,215510,3,2
11,1552500,2,2
17,1201500,2,4
21,1651503,2,4
18,2601001,2,4
9,1211100,2,3
26,1450502,3,2
21,1657200,3,1
2,2201601,3,1
6,2200300,2,3
8,1651503,2,3
18,1552500,2,2
28,2200601,3,1
15,1200001,2,2
6,2200601,3,1
6,2200300,2,3
13,1552500,2,1
28,5700600,4,4
16,1552500,2,3
12,1553501,3,3
16,1211100,2,2
10,1450001,2,1
23,2205001,2,4
19,1212000,2,1
13,5110,2,5
14,1651503,2,3
1,1200001,2,1
13,2601001,2,4
13,1200001,2,4
30,1950500,2,3
20,1200001,2,4
9,1450502,3,4
7,1552500,2,4
23,1553001,3,3
22,2200300,2,5
5,1202000,2,2
24,1553001,3,3
15,2650102,2,2
26,2201601,3,1
4,1707003,3,3
11,1211300,3,3
24,1200503,3,4
12,1200501,3,2
23,5110,3,3
25,1552500,2,3
20,1553009,3,1
22,1651503,2,2
1,1200001,2,4
13,0,1,1
23,1200001,2,4
